"Scope: to support the registration, discovery and search of devices in IoT infrastructures... Also retrieve and update... ",,,,,,,,,,,
Requirement,,,,,,,,,,Ontology Code - Traceability,
Identifier (domain+id),Responsible partner,"Competency Question /
 Natural language sentence (fact)",Answer,"Status (Proposed, Accepted, Rejected, Deprecated)",Superseded by,Comments,Extracted from (provenance),"Priority 
(High, Medium, Low)",Relation with other requirements,Associated ontology elements,
Requirement 1,UPM,What are the attribtes of a reseravtion? ,"id, created, reservationStart, reservationEnd, bufferedEnd, state, liftOffer, note, purpose",,,,,,,,
Requirement 2,UPM,a reservation is about a vehicle,,,,,,,,,
Requirement 3,UPM,What are the attribtes of a vehicle?,"id, type, label, brand, model",,,,,,,,
Requirement 4,UPM,User makes a reservation,,,,,,,,,
Requirement 5,UPM,Vehicle has an address,,,,,,,,,
Requirement 6,UPM,User has an address,,,,,,,,,
Requirement 7,UPM,What are the attributes of an addresse,"address, city, zip code, timezone",,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
